URL,Lang,Title,Meta description,H1,Words,Image alts,Block types
"/learn/ai-ophthalmology-guide","en","AI in Ophthalmology: A Complete Guide (2026)","Comprehensive guide to artificial intelligence in ophthalmology. Covers AI applications in patient communication, surgical planning, diagnostics, and practice management for eye care.","AI in Ophthalmology: A Complete Guide","745","0","learnGuide"
"/learn/ai-optometry-guide","en","AI in Optometry: A Complete Guide (2026)","Comprehensive guide to artificial intelligence in optometry. Learn how AI transforms patient communication, scheduling, intake, and practice management for optometry practices.","AI in Optometry: A Complete Guide","790","0","learnGuide"
"/learn/ai-receptionist-optometry","en","What Is an AI Receptionist for Optometry? | Definition & Guide","An AI receptionist for optometry is a virtual front-desk assistant that handles patient calls, scheduling, and inquiries using artificial intelligence. Learn how it works for eye care practices.","What Is an AI Receptionist for Optometry?","747","0","learnGuide"
"/learn/ai-voice-agent-eye-care","en","What Is an AI Voice Agent for Eye Care? | Definition & Guide","An AI voice agent for eye care is an automated phone system that uses natural language processing to handle patient calls at optometry and ophthalmology practices. Learn how it works, key features, and benefits.","What Is an AI Voice Agent for Eye Care?","826","0","learnGuide"
"/learn/automated-patient-intake-optometry","en","What Is Automated Patient Intake for Optometry? | Guide","Automated patient intake for optometry replaces manual paperwork with AI-powered conversational data collection. Learn how it works, benefits, and how to choose the right solution.","What Is Automated Patient Intake for Optometry?","724","0","learnGuide"
"/nl","nl","Optavius | AI-Assistent Exclusief voor Oogklinieken","Optavius is de enige AI-telefoonassistent die exclusief is gebouwd voor oogklinieken. 24/7 bereikbaar, NEN 7510-compliant, AVG-proof. Integreert met uw EPD. Live binnen 48 uur.","Optavius | De Enige AI-Assistent Exclusief voor Oogklinieken","707","0","hero|cardGridSection|cardGridSection|dashboardPreview|integration|howItWorks|metricGridSection|cardGridSection|faq|proseSection|cta"
"/nl/about","nl","About Optavius: Voice AI for Eye Care Practices","Optavius reduces friction in eye care with AI-powered voice agents for patient calls, routing, and scheduling.","Improving access to vision care","478","0","pageHero|splitProseSection|cardGridSection|expertsIntroSection|profileSection|cardGridSection|cta"
"/nl/ai-voice-agent-eye-clinics","nl","AI Voice Agent for Eye Clinics & Optometry Practices | Optavius","AI voice assistant for optometry clinics that answers calls and books appointments automatically. Reduce staff workload by 40% and never miss a patient call again.","AI Voice Agent for Eye Clinics and Optometry Practices","553","0","pageHero|cardGridSection|cardGridSection|metricGridSection|proseSection|faq|cta"
"/nl/automated-appointment-booking-ophthalmology","nl","Automated Appointment Booking for Ophthalmology Clinics | Optavius","AI-powered automated appointment booking for ophthalmology clinics. Patients call, the AI qualifies symptoms, selects the right provider, and books automatically.","Automated Appointment Booking for Ophthalmology Clinics","468","0","pageHero|stepFlowSection|metricGridSection|proseSection|proseSection|linkRowSection|faq|cta"
"/nl/blog/ai-voice-agent-oogkliniek","nl","Waarom oogklinieken in Nederland AI voice agents inzetten voor patiëntcommunicatie | Optavius","Nederlandse oogklinieken zetten AI voice agents in voor 24/7 bereikbaarheid, EPD-integratie en minder baliedruk. Ontdek hoe patiëntcommunicatie structureel verbetert.","Waarom oogklinieken in Nederland AI voice agents inzetten voor patiëntcommunicatie","571","0","proseSection|metricGridSection|proseSection|cardGridSection|proseSection|proseSection|proseSection|simpleCtaSection"
"/nl/compare/optavius-vs-answering-services","nl","Optavius vs. telefoonbeantwoording | Vergelijking oogklinieken","Vergelijk Optavius met klassieke telefoonbeantwoording voor oogklinieken: planning, triage en bereikbaarheid 24/7.","Optavius vs. telefoonbeantwoording: wat past bij uw oogkliniek?","359","0","compareArticle"
"/nl/contact","nl","Contact Optavius | Demo aanvragen","Vraag een demo aan of neem contact op. We reageren binnen 24 uur.","Contact Optavius | Demo aanvragen","0","0",""
"/nl/cookies","nl","Cookie Policy","How Optavius uses cookies and similar technologies.","Cookie Policy","8","0","pageHero|proseSection"
"/nl/demo","nl","Demo aanvragen | AI-telefoonassistent voor oogklinieken","Zie Optavius in actie. Vraag een persoonlijke demo aan.","Demo aanvragen | AI-telefoonassistent voor oogklinieken","0","0",""
"/nl/features","nl","Features: AI Voice Agent Capabilities for Eye Care","Explore Optavius's full feature set: AI voice conversations, automated booking, patient intake, eye care intelligence, and seamless EHR integration.","Everything your eye clinic needs to automate patient communication","565","0","pageHero|featureGridSection|featureGridSection|featureGridSection|featureGridSection|featureGridSection|cta"
"/nl/how-it-works","nl","How It Works | Go Live in Weeks | Optavius","Deploy Optavius's AI voice agent at your eye care practice in 4 to 6 weeks. No EHR integration required. Works with any phone system.","Live in weeks, not months","243","0","pageHero|stepFlowSection|cardGridSection|cardGridSection|cardGridSection|cardGridSection|simpleCtaSection"
"/nl/learn/ai-voice-agent-eye-care","nl","AI Voice Agent Oogkliniek Nederland | Automatische Afspraakplanning | Optavius","Ontdek waarom Nederlandse oogklinieken AI voice agents inzetten voor afspraakplanning, triagering en patiëntcommunicatie — 24/7, EPD-geïntegreerd en AVG-compliant.","Waarom zetten Nederlandse oogklinieken AI voice agents in voor patiëntcommunicatie?","530","0","learnGuide"
"/nl/pricing","nl","Pricing | AI Voice Agent for Eye Care | Optavius","Transparent pricing for Optavius AI voice agents. Plans from $299/mo for optometry and ophthalmology practices. No contracts, HIPAA compliant.","Simple, Transparent Pricing","320","0","pageHero|pricingTierSection|pricingCompareSection|metricGridSection|simpleCtaSection|faq"
"/nl/privacy","nl","Privacy Policy","Learn how Optavius collects, uses, and protects your personal information. Read our full privacy policy.","Privacy Policy","8","0","pageHero|proseSection"
"/nl/product","nl","AI Voice Agent & Practice Dashboard | Optavius","Optavius's AI voice agent handles patient calls 24/7 for eye care practices: intake, symptom qualification, routing, and booking. Plus an ops dashboard for KPIs, transcripts, and compliance.","AI Eye Care Assistant + Ops Dashboard","300","0","pageHero|featureGridSection|stepFlowSection|featureGridSection|proseSection|linkRowSection"
"/nl/resources","nl","Resources | Voice AI Guides for Eye Care Practices","Guides, templates, and insights for eye care practice owners exploring AI voice agents.","Insights & Downloads","147","0","pageHero|cardGridSection|cardGridSection|proseSection|linkRowSection"
"/nl/safety-compliance","nl","Safety & Compliance | Optavius","Optavius is built for healthcare accountability. Full audit trails, escalation protocols, HIPAA & SOC 1 compliant data handling, and clinical governance by design.","Built for healthcare accountability","264","0","pageHero|cardGridSection|splitProseSection|cardGridSection|simpleCtaSection|simpleCtaSection"
"/nl/solutions/mso-groups","nl","AI Voice Agent for Ophthalmology Clinics | Optavius","Voice AI purpose-built for ophthalmology clinic owners and managers. Standardize triage, ensure correct routing, and reduce clinician burden with Optavius.","Standardize triage. Reduce clinician burden.","242","0","pageHero|linkRowSection|cardGridSection|stepFlowSection|metricGridSection|proseSection|faq|cta"
"/nl/solutions/optical-chains","nl","AI Voice Agent for Optometry Practices | Optavius","Voice AI built for optometry practice owners. Automate patient calls, reduce front-desk workload, and increase booking rates across all locations with Optavius.","Convert more calls. Free your store teams.","249","0","pageHero|linkRowSection|cardGridSection|stepFlowSection|metricGridSection|proseSection|faq|cta"
"/nl/terms","nl","Terms of Service","Terms of Service for Optavius.","Terms of Service","9","0","pageHero|proseSection"
"/pricing","en","Pricing | AI Voice Agent for Eye Care | Optavius","Transparent pricing for Optavius AI voice agents. Plans from $299/mo for optometry and ophthalmology practices. No contracts, HIPAA compliant.","Simple, Transparent Pricing","320","0","pageHero|pricingTierSection|pricingCompareSection|metricGridSection|simpleCtaSection|faq"
"/privacy","en","Privacy Policy","Learn how Optavius collects, uses, and protects your personal information. Read our full privacy policy.","Privacy Policy","8","0","pageHero|proseSection"
"/product","en","AI Voice Agent & Practice Dashboard | Optavius","Optavius's AI voice agent handles patient calls 24/7 for eye care practices: intake, symptom qualification, routing, and booking. Plus an ops dashboard for KPIs, transcripts, and compliance.","AI Eye Care Assistant + Ops Dashboard","300","0","pageHero|featureGridSection|stepFlowSection|featureGridSection|proseSection|linkRowSection"
"/resources","en","Resources | Voice AI Guides for Eye Care Practices","Guides, templates, and insights for eye care practice owners exploring AI voice agents.","Insights & Downloads","147","0","pageHero|cardGridSection|cardGridSection|proseSection|linkRowSection"
"/safety-compliance","en","Safety & Compliance | Optavius","Optavius is built for healthcare accountability. Full audit trails, escalation protocols, HIPAA & SOC 1 compliant data handling, and clinical governance by design.","Built for healthcare accountability","264","0","pageHero|cardGridSection|splitProseSection|cardGridSection|simpleCtaSection|simpleCtaSection"
"/solutions/mso-groups","en","AI Voice Agent for Ophthalmology Clinics | Optavius","Voice AI purpose-built for ophthalmology clinic owners and managers. Standardize triage, ensure correct routing, and reduce clinician burden with Optavius.","Standardize triage. Reduce clinician burden.","242","0","pageHero|linkRowSection|cardGridSection|stepFlowSection|metricGridSection|proseSection|faq|cta"
"/solutions/optical-chains","en","AI Voice Agent for Optometry Practices | Optavius","Voice AI built for optometry practice owners. Automate patient calls, reduce front-desk workload, and increase booking rates across all locations with Optavius.","Convert more calls. Free your store teams.","249","0","pageHero|linkRowSection|cardGridSection|stepFlowSection|metricGridSection|proseSection|faq|cta"
"/terms","en","Terms of Service","Terms of Service for Optavius.","Terms of Service","9","0","pageHero|proseSection"
